id_livre,titre,auteur,categorie,sous_categorie/0,sous_categorie/1,nombre_editions,note_popularite,image_url,sous_categorie/2,sous_categorie/3,sous_categorie/4
0,Les aventures d'Alice au pays des merveilles,Lewis Carroll,La science-fiction,Alice (personnage fictif : Carroll),fiction,3546,354.6,https://covers.openlibrary.org/b/id/10527843-L.jpg,,,
1,Frankenstein ou le Prométhée moderne,Marie Shelley,La science-fiction,Frankenstein (personnage fictif),,2184,218.4,https://covers.openlibrary.org/b/id/12356249-L.jpg,,,
2,Le merveilleux magicien d'Oz,L. Frank Baum,La science-fiction,Sorcières,,2052,205.2,https://covers.openlibrary.org/b/id/552443-L.jpg,,,
3,La machine à voyager dans le temps,H.G. Wells,La science-fiction,Auto-expérimentation en médecine dans la fiction,,1151,115.1,https://covers.openlibrary.org/b/id/9009316-L.jpg,,,
4,Le monde perdu,Arthur Conan Doyle,La science-fiction,Histoires d'aventure,,747,74.7,https://covers.openlibrary.org/b/id/8231444-L.jpg,,,
5,Dracula,Bram Stoker,La science-fiction,Littérature anglaise,,733,73.3,https://covers.openlibrary.org/b/id/12216503-L.jpg,,,
6,Meilleur des Mondes,Aldous Huxley,La science-fiction,Utopies,,695,69.5,https://covers.openlibrary.org/b/id/8231823-L.jpg,,,
7,Le talon de fer,Jack Londres,La science-fiction,Révolutions,fiction,594,59.4,https://covers.openlibrary.org/b/id/8243314-L.jpg,,,
8,L'homme invisible,H.G. Wells,La science-fiction,Science-fiction,,563,56.3,https://covers.openlibrary.org/b/id/6419199-L.jpg,,,
9,Terrain plat,Edwin Abbott Abbott,La science-fiction,Quatrième dimension,,544,54.4,https://covers.openlibrary.org/b/id/10069547-L.jpg,,,
10,La guerre des mondes,H.G. Wells,La science-fiction,Guerres et batailles imaginaires,,462,46.2,https://covers.openlibrary.org/b/id/36314-L.jpg,,,
11,Le Napoléon de Notting Hill,Gilbert Keith Chesterton,La science-fiction,Fiction,,454,45.4,https://covers.openlibrary.org/b/id/6980094-L.jpg,,,
12,Dix-neuf quatre-vingt-quatre,Georges Orwell,La science-fiction,futurologie,,437,43.7,https://covers.openlibrary.org/b/id/9267242-L.jpg,,,
13,Le Tour du Monde en Quatre-Vingts Jours,Jules Verne,La science-fiction,Voyages vers le monde,,425,42.5,https://covers.openlibrary.org/b/id/6976035-L.jpg,,,
14,La princesse et Curdie,Georges MacDonald,La science-fiction,Contes de fées,,415,41.5,https://covers.openlibrary.org/b/id/14357835-L.jpg,,,
15,Vingt mille lieues sous les mers,Jules Verne,La science-fiction,Livres jouets et mobiles,,383,38.3,https://covers.openlibrary.org/b/id/6573517-L.jpg,,,
16,L'étrange cas du Dr Jekyll et de M. Hyde,Robert Louis Stevenson,La science-fiction,Fiction,,359,35.9,https://covers.openlibrary.org/b/id/295773-L.jpg,,,
17,La ceinture empoisonnée,Arthur Conan Doyle,La science-fiction,Professeur Challenger (personnage fictif),,345,34.5,https://covers.openlibrary.org/b/id/5788361-L.jpg,,,
18,L'île du Dr Moreau,H.G. Wells,La science-fiction,Îles,,295,29.5,https://covers.openlibrary.org/b/id/968312-L.jpg,,,
19,Fahrenheit451,Ray Bradbury,La science-fiction,Chien mécanique,,257,25.7,https://covers.openlibrary.org/b/id/12993656-L.jpg,,,
20,L'agent secret,Joseph Conrad,La science-fiction,Anarchistes,fiction,255,25.5,https://covers.openlibrary.org/b/id/8239401-L.jpg,,,
21,La piscine de la Lune,A. Merritt,La science-fiction,Fiction,,227,22.7,https://covers.openlibrary.org/b/id/9317374-L.jpg,,,
22,Au cœur de la Terre et hors des abysses du temps,Edgar Rice Burroughs,La science-fiction,Science-fiction américaine,,223,22.3,https://covers.openlibrary.org/b/id/9317372-L.jpg,,,
23,Le seigneur de guerre de Mars #3,Edgar Rice Burroughs,La science-fiction,Littérature classique,,212,21.2,https://covers.openlibrary.org/b/id/207141-L.jpg,,,
24,Moi,Evgeni Ivanovitch Zamyatin,La science-fiction,Littérature : textes,,210,21,https://covers.openlibrary.org/b/id/5484189-L.jpg,,,
25,De la terre à la lune,Jules Verne,La science-fiction,Fiction européenne continentale (œuvres de fiction d'un seul auteur),,208,20.8,https://covers.openlibrary.org/b/id/5943556-L.jpg,,,
26,"Thuvia, Pucelle de Mars",Edgar Rice Burroughs,La science-fiction,Science-fiction américaine,,207,20.7,https://covers.openlibrary.org/b/id/284442-L.jpg,,,
27,Une princesse de Mars,Edgar Rice Burroughs,La science-fiction,John Carter (personnage fictif),,207,20.7,https://covers.openlibrary.org/b/id/207226-L.jpg,,,
28,Voyage au Centre de la Terre,Jules Verne,La science-fiction,Fiction,,204,20.4,https://covers.openlibrary.org/b/id/5890987-L.jpg,,,
29,Quand le dormeur se réveille,H.G. Wells,La science-fiction,Fiction,,197,19.7,https://covers.openlibrary.org/b/id/574886-L.jpg,,,
30,La nourriture des dieux et comment elle est arrivée sur terre,H.G. Wells,La science-fiction,Fiction,,194,19.4,https://covers.openlibrary.org/b/id/314687-L.jpg,,,
31,Le bois au-delà du monde,William Morris,La science-fiction,Littérature classique,,192,19.2,https://covers.openlibrary.org/b/id/5895767-L.jpg,,,
32,Le conte de la servante,Marguerite Atwood,La science-fiction,bordels,,147,14.7,https://covers.openlibrary.org/b/id/8231851-L.jpg,,,
33,R.U.R. et Le jeu des insectes,Karel Capek,La science-fiction,Drame tchèque,,147,14.7,https://covers.openlibrary.org/b/id/4291026-L.jpg,,,
34,Les Chroniques martiennes,Ray Bradbury,La science-fiction,Science-fiction américaine,,138,13.8,https://covers.openlibrary.org/b/id/9346537-L.jpg,,,
35,Au temps de la comète,H.G. Wells,La science-fiction,Littérature classique,,136,13.6,https://covers.openlibrary.org/b/id/5783892-L.jpg,,,
36,Une orange mécanique,Antoine Burgess,La science-fiction,Bible,,132,13.2,https://covers.openlibrary.org/b/id/13151224-L.jpg,,,
37,Les jeux de la faim,Suzanne Collins,La science-fiction,pauvreté extrême,,132,13.2,https://covers.openlibrary.org/b/id/12646537-L.jpg,,,
38,Un jeu de trônes,George R. R. Martin,La science-fiction,Adulte,,131,13.1,https://covers.openlibrary.org/b/id/9269962-L.jpg,,,
39,Le guide de l'auto-stoppeur dans la galaxie,Douglas Adams,La science-fiction,science-fiction comique,,120,12,https://covers.openlibrary.org/b/id/12986869-L.jpg,,,
40,Dune,Franck Herbert,La science-fiction,Dune (Lieu Imaginaire),,120,12,https://covers.openlibrary.org/b/id/11481354-L.jpg,,,
41,Cela ne peut pas arriver ici,Sinclair Lewis,La science-fiction,Mouvements antifascistes,,119,11.9,https://covers.openlibrary.org/b/id/12719018-L.jpg,,,
42,Sur la plage,Nevil Shute,La science-fiction,Bombe atomique,,119,11.9,https://covers.openlibrary.org/b/id/997896-L.jpg,,,
43,2001,Arthur C.Clarke,La science-fiction,Interaction homme-machine,,116,11.6,https://covers.openlibrary.org/b/id/11344400-L.jpg,,,
44,Les premiers hommes sur la Lune,H.G. Wells,La science-fiction,Littérature classique,,114,11.4,https://covers.openlibrary.org/b/id/8081288-L.jpg,,,
45,Un étrange manuscrit retrouvé dans un cylindre de cuivre,James De Mille,La science-fiction,Fiction canadienne (anglais),ICIS,110,11,https://covers.openlibrary.org/b/id/5647709-L.jpg,,,
46,Charlie et le grand ascenseur de verre,Roald Dahl,La science-fiction,Charlie Bucket (personnage fictif),,108,10.8,https://covers.openlibrary.org/b/id/7893583-L.jpg,,,
47,Le donneur,Loïs Lowry,La science-fiction,Contrôle social,,106,10.6,https://covers.openlibrary.org/b/id/8352502-L.jpg,,,
48,Le navire d'Ishtar,A. Merritt,La science-fiction,la science-fiction,,104,10.4,https://covers.openlibrary.org/b/id/7266552-L.jpg,,,
49,Une ride dans le temps,Madeleine L'Engle,La science-fiction,Amour,,104,10.4,https://covers.openlibrary.org/b/id/8709146-L.jpg,,,
50,Le jeu d'Ender,Carte Orson Scott,La science-fiction,Best-seller du New York Times,,104,10.4,https://covers.openlibrary.org/b/id/12996033-L.jpg,,,
51,Une utopie moderne,H.G. Wells,La science-fiction,Utopies,,102,10.2,https://covers.openlibrary.org/b/id/8232021-L.jpg,,,
52,Prendre feu,Suzanne Collins,La science-fiction,Action/Aventure,,101,10.1,https://covers.openlibrary.org/b/id/12646539-L.jpg,,,
53,Fondation,Isaac Asimov,La science-fiction,Psychohistoire,,97,9.7,https://covers.openlibrary.org/b/id/14612610-L.jpg,,,
54,"Moi, Robot",Isaac Asimov,La science-fiction,campagnes de diffamation,,97,9.7,https://covers.openlibrary.org/b/id/12385229-L.jpg,,,
55,Le Pistolero,Stephen King,La science-fiction,succube,,94,9.4,https://covers.openlibrary.org/b/id/8396638-L.jpg,,,
56,Abattoir-Cinq,Kurt Vonnegut,La science-fiction,science-fiction américaine,,93,9.3,https://covers.openlibrary.org/b/id/12727001-L.jpg,,,
57,Parc Jurassique,Michael Crichton,La science-fiction,dichogamie,,93,9.3,https://covers.openlibrary.org/b/id/12882940-L.jpg,,,
58,Point de tromperie,Dan Brun,La science-fiction,fiction mystérieuse,,92,9.2,https://covers.openlibrary.org/b/id/14553479-L.jpg,,,
59,Les commerçants du temps,André Norton,La science-fiction,Le voyage dans le temps dans la fiction,,91,9.1,https://covers.openlibrary.org/b/id/8311641-L.jpg,,,
60,Navire de la peste,André Norton,La science-fiction,Fiction,la science-fiction,91,9.1,https://covers.openlibrary.org/b/id/9839176-L.jpg,général,,
61,Le restaurant du bout de l'univers,Douglas Adams,La science-fiction,Fiction,,90,9,https://covers.openlibrary.org/b/id/12714921-L.jpg,,,
62,Les androïdes rêvent-ils de moutons électriques ?,Philip K.Dick,La science-fiction,Androïdes,,90,9,https://covers.openlibrary.org/b/id/207515-L.jpg,,,
63,Geai moqueur,Suzanne Collins,La science-fiction,Best-seller du New York Times,,89,8.9,https://covers.openlibrary.org/b/id/6304853-L.jpg,,,
64,Étoile née,André Norton,La science-fiction,Littérature classique,,89,8.9,https://covers.openlibrary.org/b/id/5542954-L.jpg,,,
65,L'assassin aveugle,Marguerite Atwood,La science-fiction,La mort,,89,8.9,https://covers.openlibrary.org/b/id/11041760-L.jpg,,,
66,Divergent,Véronique Roth,La science-fiction,Best-seller du New York Times,,88,8.8,https://covers.openlibrary.org/b/id/13274634-L.jpg,,,
67,La maison verte,Mario Vargas Llosa,La science-fiction,Prostituées,,87,8.7,https://covers.openlibrary.org/b/id/4927546-L.jpg,,,
68,La main gauche des ténèbres,Ursula K. Le Guin,La science-fiction,Science-fiction,,87,8.7,https://covers.openlibrary.org/b/id/10618463-L.jpg,,,
69,La zone morte,Stephen King,La science-fiction,tumeurs cérébrales,,87,8.7,https://covers.openlibrary.org/b/id/14653991-L.jpg,,,
70,Éragon,Christophe Paolini,La science-fiction,Fantaisie,,86,8.6,https://covers.openlibrary.org/b/id/13921600-L.jpg,,,
71,L'Île mystérieuse,Jules Verne,La science-fiction,Livres populaires pour personnes handicapées,,83,8.3,https://covers.openlibrary.org/b/id/1277096-L.jpg,,,
72,L'Homme au Haut Château,Philip K.Dick,La science-fiction,récompense:hugo_award=1963,,83,8.3,https://covers.openlibrary.org/b/id/420452-L.jpg,,,
73,Le stand,Stephen King,La science-fiction,suspense et thriller,,83,8.3,https://covers.openlibrary.org/b/id/9255992-L.jpg,,,
74,Un magicien de Terremer,Ursula K. Le Guin,La science-fiction,Fiction,,82,8.2,https://covers.openlibrary.org/b/id/13617691-L.jpg,,,
75,Fondation et Empire,Isaac Asimov,La science-fiction,Fiction,,80,8,https://covers.openlibrary.org/b/id/9300695-L.jpg,,,
76,Étranger dans un pays étrange,Robert A. Heinlein,La science-fiction,Gagnant du prix Hugo,,80,8,https://covers.openlibrary.org/b/id/14630668-L.jpg,,,
77,La longue-vue ambrée,Philippe Pullman,La science-fiction,Fantaisie,,79,7.9,https://covers.openlibrary.org/b/id/12613246-L.jpg,,,
78,Deuxième Fondation,Isaac Asimov,La science-fiction,Fiction,,79,7.9,https://covers.openlibrary.org/b/id/9261324-L.jpg,,,
79,L'homme qui a mis fin à la guerre,Hollis Godfrey,La science-fiction,Utopies,,78,7.8,https://covers.openlibrary.org/b/id/6379250-L.jpg,,,
80,Fleurs pour Algernon,Daniel Keyes,La science-fiction,institutionnalisation,,78,7.8,https://covers.openlibrary.org/b/id/12947700-L.jpg,,,
81,Tempête sur Warlock,André Norton,La science-fiction,Fiction,la science-fiction,78,7.8,https://covers.openlibrary.org/b/id/9981342-L.jpg,général,,
82,Le monde perdu,Michael Crichton,La science-fiction,prions,,78,7.8,https://covers.openlibrary.org/b/id/10656102-L.jpg,,,
83,Allume-feu,Stephen King,La science-fiction,Génie génétique,,77,7.7,https://covers.openlibrary.org/b/id/12015446-L.jpg,,,
84,L'homme illustré,Ray Bradbury,La science-fiction,Science-fiction américaine,,77,7.7,https://covers.openlibrary.org/b/id/9345484-L.jpg,,,
85,Créateur d'étoiles,Olaf Stapledon,La science-fiction,Fiction,général,77,7.7,https://covers.openlibrary.org/b/id/911107-L.jpg,,,
86,Vol draconique,Anne McCaffrey,La science-fiction,Pern (Lieu Imaginaire),,77,7.7,https://covers.openlibrary.org/b/id/10306696-L.jpg,,,
87,Contes d'espace et de temps,H.G. Wells,La science-fiction,Science-fiction anglaise,,77,7.7,https://covers.openlibrary.org/b/id/5813880-L.jpg,,,
88,Les pièces d'échecs de Mars,Edgar Rice Burroughs,La science-fiction,Littérature classique,,75,7.5,https://covers.openlibrary.org/b/id/1930755-L.jpg,,,
89,Valka est mloky,Karel Capek,La science-fiction,Science-fiction tchèque,,75,7.5,https://covers.openlibrary.org/b/id/4113422-L.jpg,,,
90,Solaris,Stanisław Lem,La science-fiction,Traductions en anglais,,75,7.5,https://covers.openlibrary.org/b/id/12313764-L.jpg,,,
91,Un choc des rois,George R. R. Martin,La science-fiction,Fiction fantastique,,75,7.5,https://covers.openlibrary.org/b/id/8231751-L.jpg,,,
92,"Au revoir, et merci pour tous les poissons",Douglas Adams,La science-fiction,Trilogie des Quatre,,73,7.3,https://covers.openlibrary.org/b/id/11465415-L.jpg,,,
93,Dieux américains,Neil Gaiman,La science-fiction,la science-fiction,,72,7.2,https://covers.openlibrary.org/b/id/8494659-L.jpg,,,
94,Le monde flamboyant,Marguerite Cavendish,La science-fiction,la science-fiction,,72,7.2,https://covers.openlibrary.org/b/id/14634246-L.jpg,,,
95,Derniers et premiers hommes,Olaf Stapledon,La science-fiction,Fiction,la science-fiction,72,7.2,https://covers.openlibrary.org/b/id/911106-L.jpg,général,,
96,La fin de l'enfance,Arthur C.Clarke,La science-fiction,Rencontres humains-extraterrestres,,72,7.2,https://covers.openlibrary.org/b/id/210200-L.jpg,,,
97,La peste écarlate,Jack Londres,La science-fiction,Fiction,,71,7.1,https://covers.openlibrary.org/b/id/9377992-L.jpg,,,
98,Le Martien,Andy Weir,La science-fiction,La science-fiction,,71,7.1,https://covers.openlibrary.org/b/id/11447888-L.jpg,,,
99,Les dépossédés,Ursula K. Le Guin,La science-fiction,Anarchisme,,70,7,https://covers.openlibrary.org/b/id/6979680-L.jpg,,,
100,Clé hors du temps,André Norton,La science-fiction,Fiction juvénile,,70,7,https://covers.openlibrary.org/b/id/4437872-L.jpg,,,
101,Les aventures du capitaine Underpants,David Pilkey,La science-fiction,Histoires humoristiques,,70,7,https://covers.openlibrary.org/b/id/12625278-L.jpg,,,
102,Berceau du chat,Kurt Vonnegut,La science-fiction,Fin du monde,,69,6.9,https://covers.openlibrary.org/b/id/12709654-L.jpg,,,
103,Sur l'écriture,Stephen King,La science-fiction,en écrivant,,69,6.9,https://covers.openlibrary.org/b/id/9255939-L.jpg,,,
104,Messie des dunes,Franck Herbert,La science-fiction,Science-fiction américaine,,69,6.9,https://covers.openlibrary.org/b/id/2421405-L.jpg,,,
105,Un cantique pour Leibowitz,Walter M. Miller Jr.,La science-fiction,Gagnant du prix Hugo,,69,6.9,https://covers.openlibrary.org/b/id/10221348-L.jpg,,,
106,"L'Œil du monde (La Roue du Temps, Tome 1)",Robert Jordan,La science-fiction,série : La Roue du Temps,,69,6.9,https://covers.openlibrary.org/b/id/980232-L.jpg,,,
107,Ubik,Philip K.Dick,La science-fiction,Fiction,,68,6.8,https://covers.openlibrary.org/b/id/5018327-L.jpg,,,
108,"Regard en arrière, 2000-1887",Édouard Bellamy,La science-fiction,Fiction,,68,6.8,https://covers.openlibrary.org/b/id/8246102-L.jpg,,,
109,Triplanétaire,E.D. Smith,La science-fiction,Fiction,général,67,6.7,https://covers.openlibrary.org/b/id/4627686-L.jpg,,,
110,Sphère,Michael Crichton,La science-fiction,vaisseaux spatiaux,,67,6.7,https://covers.openlibrary.org/b/id/9254423-L.jpg,,,
111,Un festin pour les corbeaux,George R. R. Martin,La science-fiction,Best-seller du New York Times,,67,6.7,https://covers.openlibrary.org/b/id/6501256-L.jpg,,,
112,Proie,Michael Crichton,La science-fiction,programmeurs,,65,6.5,https://covers.openlibrary.org/b/id/10984324-L.jpg,,,
113,Hors de la planète silencieuse,CS Lewis,La science-fiction,Linguistes,,65,6.5,https://covers.openlibrary.org/b/id/9321665-L.jpg,,,
114,Abandon galactique,André Norton,La science-fiction,la science-fiction,,65,6.5,https://covers.openlibrary.org/b/id/5542553-L.jpg,,,
115,Chronologie,Michael Crichton,La science-fiction,Fiction,,64,6.4,https://covers.openlibrary.org/b/id/12451613-L.jpg,,,
116,Insurgé,Véronique Roth,La science-fiction,Avenir,,64,6.4,https://covers.openlibrary.org/b/id/7083755-L.jpg,,,
117,La souche Andromède,Michael Crichton,La science-fiction,Science-fiction américaine,,64,6.4,https://covers.openlibrary.org/b/id/9330577-L.jpg,,,
118,"La vie, l'univers et tout",Douglas Adams,La science-fiction,canapés,,64,6.4,https://covers.openlibrary.org/b/id/8569244-L.jpg,,,
119,Harmaguédon 2419 après JC,Philippe Francis Nowlan,La science-fiction,Fiction,la science-fiction,64,6.4,https://covers.openlibrary.org/b/id/8741395-L.jpg,général,,
120,Petit flou,Piper de poutre en H,La science-fiction,Littérature classique,,63,6.3,https://covers.openlibrary.org/b/id/1591936-L.jpg,,,
121,Artemis Fowl et le code de l'éternité,Eoin Colfer,La science-fiction,Best-seller du New York Times,,63,6.3,https://covers.openlibrary.org/b/id/12636263-L.jpg,,,
122,Le jour des Triffides,John Wyndham,La science-fiction,Aveugle,,63,6.3,https://covers.openlibrary.org/b/id/535027-L.jpg,,,
123,Neuromancien,William Gibson,La science-fiction,Autoroute de l’information,,63,6.3,https://covers.openlibrary.org/b/id/283860-L.jpg,,,
124,Chasseur d'étoiles,André Norton,La science-fiction,Fiction,la science-fiction,61,6.1,https://covers.openlibrary.org/b/id/5542981-L.jpg,général,,
125,La planète des singes,Pierre Boulle,La science-fiction,édition en langue française,,61,6.1,https://covers.openlibrary.org/b/id/1009545-L.jpg,,,
126,Cinq semaines en ballon,Jules Verne,La science-fiction,Fiction,,61,6.1,https://covers.openlibrary.org/b/id/6475675-L.jpg,,,
127,La fin de l'éternité,Isaac Asimov,La science-fiction,Voyage dans le temps,,61,6.1,https://covers.openlibrary.org/b/id/6622699-L.jpg,,,
128,mort,Terry Pratchett,La science-fiction,La mort,,60,6,https://covers.openlibrary.org/b/id/14648805-L.jpg,,,
129,Quelque chose de méchant arrive de cette façon,Ray Bradbury,La science-fiction,Garçons,,60,6,https://covers.openlibrary.org/b/id/9346340-L.jpg,,,
130,Rendez-vous avec Rama,Arthur C.Clarke,La science-fiction,Fiction,,60,6,https://covers.openlibrary.org/b/id/13472608-L.jpg,,,
131,Les grottes d'acier,Isaac Asimov,La science-fiction,Robots,,60,6,https://covers.openlibrary.org/b/id/13790511-L.jpg,,,
132,Allégiant,Véronique Roth,La science-fiction,dystopique,,59,5.9,https://covers.openlibrary.org/b/id/7276393-L.jpg,,,
133,Mur rouge,Brian Jacques,La science-fiction,Fiction pour enfants,,59,5.9,https://covers.openlibrary.org/b/id/2325082-L.jpg,,,
134,Soldats de l'espace,Robert A. Heinlein,La science-fiction,Fiction,,59,5.9,https://covers.openlibrary.org/b/id/14630746-L.jpg,,,
135,Le bord de la Fondation,Isaac Asimov,La science-fiction,Fiction,,58,5.8,https://covers.openlibrary.org/b/id/6700720-L.jpg,,,
136,Planète de la casse,Piper de poutre en H,La science-fiction,Fiction,,57,5.7,https://covers.openlibrary.org/b/id/1861004-L.jpg,,,
137,La conquête de Mars par Edison,Garrett Putman Serviss,La science-fiction,Fiction,,57,5.7,https://covers.openlibrary.org/b/id/6460763-L.jpg,,,
138,Le nuage violet,Député Shiel,La science-fiction,Littérature classique,,56,5.6,https://covers.openlibrary.org/b/id/574739-L.jpg,,,
139,Quête du Dragon,Anne McCaffrey,La science-fiction,Pern,,56,5.6,https://covers.openlibrary.org/b/id/12077053-L.jpg,,,
140,Les régulateurs,Stephen King,La science-fiction,la science-fiction,,55,5.5,https://covers.openlibrary.org/b/id/14651906-L.jpg,,,
141,Colomb de l'Espace,Garrett Putman Serviss,La science-fiction,la science-fiction,,55,5.5,https://covers.openlibrary.org/b/id/6121297-L.jpg,,,
142,La guerre dans les airs,H.G. Wells,La science-fiction,Fiction,,54,5.4,https://covers.openlibrary.org/b/id/574890-L.jpg,,,
143,La trilogie de la Fondation,Isaac Asimov,La science-fiction,Science-fiction américaine,,54,5.4,https://covers.openlibrary.org/b/id/6502517-L.jpg,,,
144,En bas et en dehors dans le Royaume Magique,Cory Doctorow,La science-fiction,la science-fiction,,53,5.3,https://covers.openlibrary.org/b/id/524060-L.jpg,,,
145,Premier Lensman,Edward Elmer Smith,La science-fiction,Fiction,la science-fiction,53,5.3,https://covers.openlibrary.org/b/id/929104-L.jpg,général,,
146,Généralement inoffensif,Douglas Adams,La science-fiction,Préfet Ford (Personnage fictif),,53,5.3,https://covers.openlibrary.org/b/id/11465755-L.jpg,,,
147,Rites égaux,Terry Pratchett,La science-fiction,Fantaisie,,52,5.2,https://covers.openlibrary.org/b/id/6925774-L.jpg,,,
148,Atlas haussa les épaules,Ayn Rand,La science-fiction,Fiction,,52,5.2,https://covers.openlibrary.org/b/id/1469506-L.jpg,,,
149,Captain Underpants et l'attaque des toilettes parlantes,David Pilkey,La science-fiction,Histoires d'école,,51,5.1,https://covers.openlibrary.org/b/id/3143468-L.jpg,,,
150,Enfants de Dune,Franck Herbert,La science-fiction,Dune (Lieu Imaginaire),,51,5.1,https://covers.openlibrary.org/b/id/6976407-L.jpg,,,
151,État de peur,Michael Crichton,La science-fiction,conflits d'intérêts,,51,5.1,https://covers.openlibrary.org/b/id/8393255-L.jpg,,,
152,Le soleil nu,Isaac Asimov,La science-fiction,Fiction,,51,5.1,https://covers.openlibrary.org/b/id/6542967-L.jpg,,,
153,Artemis Fowl et l'incident de l'Arctique,Eoin Colfer,La science-fiction,la science-fiction,,50,5,https://covers.openlibrary.org/b/id/8231795-L.jpg,,,
154,Contact,Carl Sagan,La science-fiction,Exploration,,50,5,https://covers.openlibrary.org/b/id/4143957-L.jpg,,,
155,Sur le mouillé,Nevil Shute,La science-fiction,la science-fiction,,49,4.9,https://covers.openlibrary.org/b/id/890082-L.jpg,,,
156,Congo,Michael Crichton,La science-fiction,Kakundakari,,49,4.9,https://covers.openlibrary.org/b/id/10653144-L.jpg,,,
157,Monde en anneau,Larry Niven,La science-fiction,Gagnant du prix Hugo,,49,4.9,https://covers.openlibrary.org/b/id/8999878-L.jpg,,,
158,Petits dieux,Terry Pratchett,La science-fiction,Disque-monde (lieu imaginaire),,49,4.9,https://covers.openlibrary.org/b/id/14648232-L.jpg,,,
159,Oryx et râle,Marguerite Atwood,La science-fiction,Fiction littéraire,,49,4.9,https://covers.openlibrary.org/b/id/12507658-L.jpg,,,
160,L'alouette de l'espace,Edward Elmer Smith,La science-fiction,Fiction,la science-fiction,49,4.9,https://covers.openlibrary.org/b/id/5540850-L.jpg,opéra spatial,,
161,La porte vers l'été,Robert A. Heinlein,La science-fiction,Science-fiction américaine,,49,4.9,https://covers.openlibrary.org/b/id/10118264-L.jpg,,,
162,Canaan noir,Robert E. Howard,La science-fiction,la science-fiction,,48,4.8,https://covers.openlibrary.org/b/id/6620518-L.jpg,,,
163,Podkayne de Mars,Robert A. Heinlein,La science-fiction,Frères et sœurs,,48,4.8,https://covers.openlibrary.org/b/id/14630745-L.jpg,,,
164,Les dieux eux-mêmes,Isaac Asimov,La science-fiction,Fiction en anglais,,48,4.8,https://covers.openlibrary.org/b/id/14839474-L.jpg,,,
165,Une danse avec les dragons,George R. R. Martin,La science-fiction,Best-seller du New York Times,,48,4.8,https://covers.openlibrary.org/b/id/11298743-L.jpg,,,
166,Fondation et Terre,Isaac Asimov,La science-fiction,Fiction,,47,4.7,https://covers.openlibrary.org/b/id/9304027-L.jpg,,,
167,Le passage,Justin Cronin,La science-fiction,FICTION,,47,4.7,https://covers.openlibrary.org/b/id/8261369-L.jpg,,,
168,Captain Underpants et l'invasion des dames incroyablement coquines de la cafétéria venues de l'espace,David Pilkey,La science-fiction,Fiction,,47,4.7,https://covers.openlibrary.org/b/id/277331-L.jpg,,,
169,Ne me laisse jamais partir,Kazuo Ishiguro,La science-fiction,Fiction,,47,4.7,https://covers.openlibrary.org/b/id/1047334-L.jpg,,,
170,Les Hauts de Hurlevent,Emily Brontë,Romance,Fiction britannique et irlandaise (œuvres de fiction d'un seul auteur),,2850,285,https://covers.openlibrary.org/b/id/12818862-L.jpg,,,
171,Emma,Jane Austen,Romance,Vie sociale et coutumes,,2261,226.1,https://covers.openlibrary.org/b/id/9278312-L.jpg,,,
172,Sens et sensibilité,Jane Austen,Romance,Fiction,Romance,2015,201.5,https://covers.openlibrary.org/b/id/9278292-L.jpg,Historique,Régence,
173,Petites femmes,Louisa May Alcott,Romance,Romains,,1887,188.7,https://covers.openlibrary.org/b/id/8775559-L.jpg,,,
174,Анна Каренина,Lev Tolstoï,Romance,Fiction,,1314,131.4,https://covers.openlibrary.org/b/id/2560652-L.jpg,,,
175,Jane Eyre,Charlotte Brontë,Romance,Fiction,,1170,117,https://covers.openlibrary.org/b/id/8235363-L.jpg,,,
176,Abbaye de Northanger,Jane Austen,Romance,Sélection du partenaire,,1011,101.1,https://covers.openlibrary.org/b/id/12567961-L.jpg,,,
177,Ethan Frome,Edith Wharton,Romance,Victimes d'accidents,,1000,100,https://covers.openlibrary.org/b/id/8303480-L.jpg,,,
178,Le Condé de Montecristo,Alexandre Dumas,Romance,France -- Histoire -- 19e siècle -- Fiction,,732,73.2,https://covers.openlibrary.org/b/id/14566393-L.jpg,,,
179,Cavaliers du Sauge Pourpre,Zane Gris,Romance,Fiction,,705,70.5,https://covers.openlibrary.org/b/id/872066-L.jpg,,,
180,La Case de l'oncle Tom,Harriet Beecher-Stowe,Romance,Maître et serviteur,,662,66.2,https://covers.openlibrary.org/b/id/12728198-L.jpg,,,
181,La Pierre de Lune,Wilkie Collins,Romance,Fiction,,637,63.7,https://covers.openlibrary.org/b/id/8237041-L.jpg,,,
182,Femmes amoureuses,D.H. Lawrence,Romance,Romance,,553,55.3,https://covers.openlibrary.org/b/id/13140934-L.jpg,,,
183,Elle,H. Rider hagard,Romance,Fiction en anglais,,499,49.9,https://covers.openlibrary.org/b/id/295537-L.jpg,,,
184,Ce côté du paradis,F. Scott Fitzgerald,Romance,Fiction,,495,49.5,https://covers.openlibrary.org/b/id/8243609-L.jpg,,,
185,Cranford,Elizabeth Cleghorn Gaskell,Romance,Fiction,,473,47.3,https://covers.openlibrary.org/b/id/5188445-L.jpg,,,
186,Cœur des Ténèbres,Joseph Conrad,Romance,Fiction,,464,46.4,https://covers.openlibrary.org/b/id/12307847-L.jpg,,,
